Customer_Name,recency,frequency,monetary,r_score,f_score,m_score,rfm_total_score
"Jennifer Thompson",208,1,2.58,2,1,1,4
"Isabella Laurent",620,1,3.42,4,3,1,8
"Sophie Johansson",441,1,4.14,3,2,1,6
"Karen Martinez",1062,1,4.3,5,4,1,10
"Felix Hassan",932,1,5.68,5,4,1,10
"Ingrid Santos",376,1,6.13,3,2,1,6
"Susan Garcia",235,1,6.24,2,1,1,4
"James Ali",399,1,6.25,3,2,1,6
"Lucas White",910,1,6.29,5,4,1,10
"Ethan Yamamoto",850,1,6.44,5,3,1,9
"Giulia Dubois",907,1,6.62,5,4,1,10
"Hans Wang",56,1,6.66,1,1,1,3
"Zara Moreau",819,1,6.83,5,3,1,9
"Yuki Thompson",565,1,6.93,4,3,1,8
"Sarah Smith",263,1,7.02,2,1,1,4
"Ahmed Tanaka",410,1,7.03,3,2,1,6
"Raj Costa",1074,1,7.26,5,4,1,10
"Nadia Romano",653,1,7.66,4,3,1,8
"Amir Dubois",104,1,7.95,1,1,1,3
"Giulia Garcia",86,1,8.33,1,1,1,3
"Wei Khan",443,1,8.54,3,2,1,6
"Sophie Johnson",248,1,8.55,2,1,1,4
"Richard Li",942,1,8.57,5,4,1,10
"Maria Laurent",1058,1,8.67,5,4,1,10
"Liam Costa",755,1,8.72,4,3,1,8
"Michael Oliveira",152,1,8.78,1,1,1,3
"Mary Jackson",26,1,8.96,1,1,1,3
"Giulia Leroy",1059,1,8.96,5,4,1,10
"Raj Khan",756,1,9.12,4,3,1,8
"Marco Kim",347,1,9.18,2,2,1,5
"Olivia Laurent",756,1,9.23,4,3,1,8
"Xiao Johansson",17,1,9.32,1,1,1,3
"Olivia Schmidt",179,1,9.44,2,1,1,4
"Richard Martinez",25,1,9.89,1,1,1,3
"Lucas Leroy",831,1,9.94,5,3,1,9
"Noah Santos",905,1,10.06,5,4,1,10
"William Smith",662,1,10.33,4,3,1,8
"Amina Sharma",132,1,10.91,1,1,1,3
"Amina Anderson",193,1,11.03,2,1,1,4
"Ahmed Smith",309,1,11.15,2,2,1,5
"Maria Müller",298,1,11.23,2,2,1,5
"Amir Wang",633,1,11.3,4,3,1,8
"Fatima Kim",797,1,11.38,4,3,1,8
"Jennifer Brown",70,1,11.45,1,1,1,3
"Zara Smith",745,1,11.71,4,3,1,8
"Diego Nilsson",728,1,11.89,4,3,1,8
"Pierre Smith",472,1,12.16,3,2,1,6
"Ingrid Yamamoto",391,1,12.35,3,2,1,6
"Ingrid White",474,1,12.55,3,2,1,6
"Patricia Khan",688,1,12.56,4,3,1,8
"Yuki Zhang",851,1,12.77,5,3,1,9
"Noah Thomas",42,1,12.78,1,1,1,3
"Jessica Thomas",48,1,12.86,1,1,1,3
"Ali Dubois",615,1,12.87,4,3,1,8
"Sakura Garcia",469,1,12.88,3,2,1,6
"Ivan Romano",439,1,13,3,2,1,6
"Olga Ali",265,1,13.24,2,1,1,4
"Ivan Martin",403,1,13.3,3,2,1,6
"Zara Hassan",437,1,13.36,3,2,1,6
"Ivan Park",387,1,13.38,3,2,1,6
"Michael Zhang",1055,1,13.39,5,4,1,10
"Noah Hassan",513,1,13.5,3,2,1,6
"Felix Moreau",1041,1,13.7,5,4,1,10
"Joseph Ali",410,1,14.19,3,2,1,6
"David White",753,1,14.32,4,3,1,8
"Karen Patel",149,1,14.45,1,1,1,3
"Emma Laurent",31,1,14.55,1,1,1,3
"Isabella Tanaka",340,1,14.69,2,2,1,5
"Hanna Kim",582,1,14.73,4,3,1,8
"Hans Oliveira",128,1,14.83,1,1,1,3
"Nadia Martinez",447,1,14.85,3,2,1,6
"Diego Hassan",770,1,14.93,4,3,1,8
"Noah Fischer",99,1,15.04,1,1,1,3
"Felix Fischer",73,1,15.05,1,1,1,3
"Sophie Zhang",51,1,15.08,1,1,1,3
"Linda Laurent",788,1,15.15,4,3,1,8
"Thomas Tanaka",315,1,15.32,2,2,1,5
"Olga Li",499,1,15.61,3,2,1,6
"James Taylor",894,1,15.61,5,4,1,10
"Pierre Garcia",255,1,15.62,2,1,1,4
"Mary Russo",701,1,15.66,4,3,1,8
"Zara Brown",1084,1,15.82,5,4,1,10
"Layla Zhang",514,1,15.84,3,2,1,6
"Michael Schmidt",541,1,15.86,3,2,1,6
"Robert Sato",9,1,16.06,1,1,1,3
"Christopher Ahmed",229,1,16.15,2,1,1,4
"Chen Khan",185,1,16.16,2,1,1,4
"William Garcia",197,1,16.16,2,1,1,4
"Hans Ferrari",191,1,16.31,2,1,1,4
"Oscar Costa",768,1,16.43,4,3,1,8
"Clara Nilsson",902,1,16.48,5,4,1,10
"Christopher Fischer",426,1,16.58,3,2,1,6
"Ali Romano",772,1,16.66,4,3,1,8
"Ayumi Moreau",546,1,16.8,3,2,1,6
"Nadia Taylor",452,1,16.82,3,2,1,6
"Lucas Jones",890,1,16.91,5,4,1,10
"Li Yamamoto",978,1,16.95,5,4,1,10
"Xiao Smith",888,1,17.02,5,4,1,10
"Sarah Hassan",213,1,17.12,2,1,1,4
"Hanna Brown",655,1,17.14,4,3,1,8
"Giulia Singh",292,1,17.18,2,2,1,5
"Ava Li",752,1,17.47,4,3,1,8
"Elizabeth Garcia",79,1,17.49,1,1,1,3
"Isabella Taylor",855,1,17.66,5,3,1,9
"Raj Singh",737,1,17.86,4,3,1,8
"Michael Martin",920,1,17.95,5,4,1,10
"David Chen",254,1,18.14,2,1,1,4
"Raj Anderson",778,1,18.14,4,3,1,8
"Giulia Pereira",873,1,18.19,5,4,1,10
"Isabella Yamamoto",638,1,18.2,4,3,1,8
"Xiao Harris",765,1,18.28,4,3,1,8
"Zara Chen",625,1,18.5,4,3,1,8
"Felix Johansson",1047,1,18.57,5,4,1,10
"Priya Sato",427,1,18.61,3,2,1,6
"William Martin",126,1,18.64,1,1,1,3
"Olga Miller",34,1,18.75,1,1,1,3
"Kenji Suzuki",868,1,18.91,5,3,1,9
"Joseph Johnson",887,1,18.96,5,4,1,10
"Ingrid Martin",493,1,19.03,3,2,1,6
"Isabella Kumar",919,1,19.19,5,4,1,10
"Jennifer Khan",719,1,19.48,4,3,1,8
"Ethan Clark",810,1,19.51,4,3,1,8
"Olga Patel",917,1,19.58,5,4,1,10
"Hanna Nilsson",228,1,19.62,2,1,1,4
"Clara Brown",161,1,19.73,1,1,1,3
"Carlos Yamamoto",472,1,20.04,3,2,1,6
"Clara Singh",627,1,20.08,4,3,1,8
"Amina Romano",535,1,20.12,3,2,1,6
"Amina Tanaka",214,1,20.23,2,1,1,4
"Jamal Leroy",862,1,20.48,5,3,1,9
"Robert Thompson",592,1,20.52,4,3,1,8
"Raj Chen",927,1,20.62,5,4,1,10
"Nadia Anderson",557,1,20.68,3,2,1,6
"Mia Ferrari",1014,1,20.74,5,4,1,10
"Yuki Chen",713,1,20.84,4,3,1,8
"Joseph Martin",38,1,20.92,1,1,1,3
"Ava Rodriguez",401,1,21,3,2,1,6
"Kenji Rossi",1089,1,21.06,5,4,1,10
"Felix Taylor",715,1,21.31,4,3,1,8
"Liam Zhang",195,1,21.34,2,1,1,4
"Amina Ali",870,1,21.34,5,3,1,9
"Mary Rodriguez",529,1,21.38,3,2,1,6
"Jamal Ferrari",1002,1,21.5,5,4,1,10
"William Hassan",937,1,21.86,5,4,1,10
"Priya Chen",972,1,21.87,5,4,1,10
"Zara Davis",367,1,22.05,3,2,1,6
"Chen Rossi",212,2,22.15,2,5,1,8
"Pierre Suzuki",30,1,22.39,1,1,1,3
"Ayumi Pereira",324,1,22.48,2,2,1,5
"Nadia Ahmed",117,1,22.62,1,1,1,3
"Hanna Martinez",16,1,22.64,1,1,1,3
"Felix Pereira",195,1,22.64,2,1,1,4
"Patricia Clark",674,1,22.66,4,3,1,8
"Hans Smith",848,1,22.68,5,3,1,9
"Joseph Singh",549,1,22.69,3,2,1,6
"Clara Fischer",45,1,22.8,1,1,1,3
"Barbara Johnson",383,1,22.8,3,2,1,6
"Omar Singh",860,1,22.84,5,3,1,9
"Jamal Wang",389,1,23.28,3,2,1,6
"Robert Smith",912,1,24.14,5,4,1,10
"Karen Jackson",1020,1,24.52,5,4,1,10
"Ivan Müller",483,1,24.6,3,2,1,6
"Emma Johansson",959,1,24.6,5,4,1,10
"Ava Martinez",1066,1,24.65,5,4,1,10
"Fatima Rossi",1036,1,24.66,5,4,1,10
"Isabella Schmidt",441,1,24.72,3,2,1,6
"Linda Müller",722,1,24.74,4,3,1,8
"Pierre Jones",462,1,24.89,3,2,1,6
"Susan Leroy",233,2,24.92,2,5,1,8
"Raj White",33,1,25.08,1,1,1,3
"Richard Garcia",631,1,25.2,4,3,1,8
"Zara Wang",83,1,25.37,1,1,1,3
"Liam Rossi",754,1,25.4,4,3,1,8
"Nadia Brown",960,1,25.6,5,4,1,10
"Thomas Li",933,1,25.63,5,4,1,10
"Yuki Suzuki",198,1,25.69,2,1,1,4
"Kenji Yamamoto",228,1,25.7,2,1,1,4
"Barbara Fischer",222,1,25.88,2,1,1,4
"Emma Sato",148,1,25.92,1,1,1,3
"Giulia Khan",820,1,25.92,5,3,1,9
"Clara Johnson",664,1,26.25,4,3,1,8
"Mia Johnson",154,1,26.43,1,1,1,3
